Order_ID,Customer_ID,Order_Date,Region,City,Sales_Channel,Customer_Segment,Age,Category,Subcategory,Quantity,Unit_Price,Total_Sales,Cost,Profit,Payment_Method,Satisfaction,Delivery_Date
ORD-3908-001887,CUST_00581,2022-10-20,North,Chandigarh,Online,Consumer ,42.0,Grocery,Beverages,2.0,1385.54,2771.08,2095.78,675.31,UPI,4.0,2022-10-23
ORD-6029-004008,CUST_00028,2022-06-29,South,Bengaluru,Marketplace,Consumer,39.0,Home appliances,Packaged Food,3.0,889.64,2668.92,1300.94,1367.99,UPI,5.0,2022-07-02
ORD-5140-003119,CUST_01199,2022-01-31,South,Bengaluru,Marketplace,Corporate,23.0,Office Supplies,Organizers,1.0,1304.85,1304.85,873.57,235.55,Wallet,4.2,2022-02-02
ORD-11805-009784,CUST_00734,2023-04-11,Central,Bhopal,Online,Consumer,58.0,Clothing,Footwear,5.0,6614.23,33071.15,13373.58,9776.23,UPI,3.4,2023-04-12
ORD-9231-007210,CUST_00499,2023-06-03,West,Mumbai,Phone,Consumer,20.0,electronics,Tables,2.0,39889.2,79778.4,38818.39,36971.09,Credit Card,2.8,2023-06-08
ORD-7236-005215,CUST_00372,2023-08-17,South,Bengaluru,Online,Small Business,36.0,Grocery,,2.0,1672.33,3344.66,1768.46,1074.5,Cash,3.6,2023-08-19
ORD-4608-002587,CUST_00845,2022-02-05,North,Delhi,Online,Consumer,25.0,Sports,Team Sports,2.0,358.7,717.4,501.09,216.31,Credit Card,3.7,2022-02-09
ORD-9662-007641,CUST_00610,2024-10-17,East,Kolkata,Online,Consumer,29.0,Home Appliances,Cooling,2.0,21330.24,42660.48,23937.35,16590.1,Cash,3.6,2024-10-19
ORD-8117-006096,CUST_00833,2024-02-11,West,Mumbai,Online,Small Business,27.0,Clothing,Women,2.0,8882.14,17764.28,9915.66,3407.56,UPI,3.9,2024-02-13
ORD-10903-008882,CUST_00972,2022-11-20,East,Kolkata,Store,Corporate,48.0,Clothing,Women,4.0,1596.45,6385.8,2371.73,2417.62,Debit Card,4.5,
ORD-9943-007922,CUST_00975,2024-12-12,West,Ahmedabad,Store,Corporate,34.0,Electronics,Laptops,2.0,67402.74,134805.48,69001.66,65803.81,Net Banking,2.5,2024-12-14
ORD-10393-008372,CUST_00858,2024-06-13,East,Kolkata,Marketplace,Consumer,28.0,,Kids,2.0,9388.09,18776.18,11396.36,3624.59,Credit Card,4.4,2024-06-27
ORD-10855-008834,CUST_00237,2023-09-26,East,Kolkata,Marketplace,Small Business,33.0,Office Supplies,Binders,3.0,862.84,2588.52,1558.07,1030.45,Cash,3.6,2023-09-29
ORD-10876-008855,CUST_00166,2024-06-18,East,Guwahati,Online,Consumer,50.0,Furniture,Chairs,10.0,3940.62,39406.2,26368.18,13037.99,Credit Card,3.9,2024-06-25
ORD-9073-007052,CUST_00217,2022-07-10,East,Guwahati,Online,Corporate,46.0,Home Appliances,Cooling,2.0,14113.37,28226.74,17785.36,3384.69,Cash ,5.0,2022-07-12
